source	target	Reference	interaction	pos2NaiveScores	neg2NaiveScores	tex2NaiveScores	acute2NaiveScores	tex2AcuteScores	pos2NegScores
AKT1	BACH2	Roychoudhuri et al, 2016, BACH2 regulates CD8+ T cell differentiation by controlling access of AP-1 factors to enhancers. 	inhibits	1	1	0	0	0	1
AKT1	FOXO1	Calnan, The FoxO code, 2008.. Hedrick et al, FOXO transcription factors throughout T cell biology. Hedrick et al, FOXO transcription factors throughout T cell biology	inhibits	1	1	0	0	0	0.789
AKT1	MTOR	van der Widnt & Pearce, Metabolic switching and fuel choice during T-cell differentiation and memory development	promotes	0	0.231	0.562	0.607	0.393	0.474
AKT1	PPARGC1A	Schrping, 2016, The Tumor Microenvironment Represses T Cell Mitochondrial Biogenesis to Drive Intratumoral T Cell Metabolic Insufficiency and Dysfunction	inhibits	0.846	0.846	0.5	0.643	0.607	0.263
AKT1	SLC2A1	Frauwirth et al, 2002, The CD28 Signaling Pathway Regulates Glucose Metabolism	promotes	0.385	0.769	0.438	0.571	0.714	0.474
AKT1	SLC2A2	Frauwirth et al, 2002, The CD28 Signaling Pathway Regulates Glucose Metabolism	promotes	0	0	0.438	0.286	0.5	0
AKT1	SLC2A3	Frauwirth et al, 2002, The CD28 Signaling Pathway Regulates Glucose Metabolism	promotes	0.077	0.923	0.312	0.5	0.571	1
AKT1	SLC2A4	Frauwirth et al, 2002, The CD28 Signaling Pathway Regulates Glucose Metabolism	promotes	0	0	0.5	0.571	0.464	0
AKT1	SLC2A5	Frauwirth et al, 2002, The CD28 Signaling Pathway Regulates Glucose Metabolism	promotes	0	0	0	0	0	0
AKT2	BACH2	Roychoudhuri et al, 2016, BACH2 regulates CD8+ T cell differentiation by controlling access of AP-1 factors to enhancers. 	inhibits	0.538	0.538	0	0	0	0.368
AKT2	FOXO1	Calnan, The FoxO code, 2008.. Hedrick et al, FOXO transcription factors throughout T cell biology. Hedrick et al, FOXO transcription factors throughout T cell biology	inhibits	0.538	0.538	0	0	0	0.158
AKT2	MTOR	van der Widnt & Pearce, Metabolic switching and fuel choice during T-cell differentiation and memory development	promotes	0.462	0.385	0	0	0	0.789
AKT2	PPARGC1A	Schrping, 2016, The Tumor Microenvironment Represses T Cell Mitochondrial Biogenesis to Drive Intratumoral T Cell Metabolic Insufficiency and Dysfunction	inhibits	0.385	0.538	0	0	0	0.474
AKT2	SLC2A1	Frauwirth et al, 2002, The CD28 Signaling Pathway Regulates Glucose Metabolism	promotes	0.846	0.462	0	0	0	0.789
AKT2	SLC2A2	Frauwirth et al, 2002, The CD28 Signaling Pathway Regulates Glucose Metabolism	promotes	0	0	0	0	0	0
AKT2	SLC2A3	Frauwirth et al, 2002, The CD28 Signaling Pathway Regulates Glucose Metabolism	promotes	0.538	0.615	0	0	0	0.368
