Source	Target	Reference	edgeType	aPDL1TILScores	PDL1plusPDL1minusScores	Tim3Plus2Tim3MinusScores	TILN2CMVScores	TILN2naiveScores	TILN2EBVScores	TILN2tumorPBMCScores	acuteD5.2NScores	acuteD7.2NScores	T.D5.2NScores	T.D7.2NScores	T.D14.2NScores	T.D21.2NScores
AKT1	BACH2	Roychoudhuri et al, 2016, BACH2 regulates CD8+ T cell differentiation by controlling access of AP-1 factors to enhancers. 	inhibits	0.333	0.5	0.222	0.49	0.604	0.557	0.581	1	1	0.889	0.667	1	1
AKT1	FOXO1	Calnan, The FoxO code, 2008.. Hedrick et al, FOXO transcription factors throughout T cell biology. Hedrick et al, FOXO transcription factors throughout T cell biology	inhibits	0.333	0.625	0.444	0.449	0.714	0.571	0.6	1	1	1	1	1	1
AKT1	MTOR	van der Widnt & Pearce, Metabolic switching and fuel choice during T-cell differentiation and memory development	promotes	1	0.812	0.444	0.265	0.33	0.3	0.381	0	0	0	0	0	0
AKT1	PPARGC1A	Schrping, 2016, The Tumor Microenvironment Represses T Cell Mitochondrial Biogenesis to Drive Intratumoral T Cell Metabolic Insufficiency and Dysfunction	inhibits	0.167	0.875	0.556	0.449	0.473	0.486	0.41	0.444	0.667	0.778	0.556	0.667	0.111
AKT1	SLC2A1	Frauwirth et al, 2002, The CD28 Signaling Pathway Regulates Glucose Metabolism	promotes	0.167	0.625	0.556	0.408	0.681	0.657	0.581	1	1	0.778	0.444	0	0.111
AKT1	SLC2A2	Frauwirth et al, 2002, The CD28 Signaling Pathway Regulates Glucose Metabolism	promotes	1	0.875	0.556	0.571	0.516	0.514	0.543	0.667	0.667	0.778	0.667	0.667	0.889
AKT1	SLC2A3	Frauwirth et al, 2002, The CD28 Signaling Pathway Regulates Glucose Metabolism	promotes	0.5	0.625	0.667	0.571	0.473	0.629	0.581	1	1	0	0	0	0.667
AKT1	SLC2A4	Frauwirth et al, 2002, The CD28 Signaling Pathway Regulates Glucose Metabolism	promotes	1	0.625	0.444	0.469	0.637	0.471	0.533	1	1	1	1	1	1
AKT1	SLC2A5	Frauwirth et al, 2002, The CD28 Signaling Pathway Regulates Glucose Metabolism	promotes	0.833	0.562	0.333	0.51	0.615	0.571	0.6	0.667	0.667	0.667	0.667	0.778	0.778
AKT2	BACH2	Roychoudhuri et al, 2016, BACH2 regulates CD8+ T cell differentiation by controlling access of AP-1 factors to enhancers. 	inhibits	0.833	0.625	0.556	0.449	0.505	0.5	0.543	0.556	0.111	0.556	0.556	0	0.111
AKT2	FOXO1	Calnan, The FoxO code, 2008.. Hedrick et al, FOXO transcription factors throughout T cell biology. Hedrick et al, FOXO transcription factors throughout T cell biology	inhibits	0.667	0.562	0.556	0.469	0.692	0.529	0.552	0.556	0.111	0.444	0.222	0	0.111
AKT2	MTOR	van der Widnt & Pearce, Metabolic switching and fuel choice during T-cell differentiation and memory development	promotes	0.167	0.625	0.333	0.408	0.538	0.471	0.562	0.444	0.889	0.556	0.778	1	0.889
AKT2	PPARGC1A	Schrping, 2016, The Tumor Microenvironment Represses T Cell Mitochondrial Biogenesis to Drive Intratumoral T Cell Metabolic Insufficiency and Dysfunction	inhibits	1	0.688	0.222	0.49	0.56	0.643	0.533	0.444	0.556	0.667	0.778	0.556	0.778
AKT2	SLC2A1	Frauwirth et al, 2002, The CD28 Signaling Pathway Regulates Glucose Metabolism	promotes	1	1	0.444	0.551	0.505	0.629	0.581	0.556	0.111	0.778	0.778	1	0.778
AKT2	SLC2A2	Frauwirth et al, 2002, The CD28 Signaling Pathway Regulates Glucose Metabolism	promotes	1	0.75	0.444	0.592	0.604	0.629	0.524	0.889	0.778	0.444	0.778	1	0.444
AKT2	SLC2A3	Frauwirth et al, 2002, The CD28 Signaling Pathway Regulates Glucose Metabolism	promotes	0.833	0.812	0.333	0.49	0.56	0.714	0.581	0.556	0.111	0.556	0.778	1	0.222
AKT2	SLC2A4	Frauwirth et al, 2002, The CD28 Signaling Pathway Regulates Glucose Metabolism	promotes	0.667	0.375	0.333	0.449	0.549	0.486	0.505	0.556	0.111	1	1	0.667	0.667
AKT2	SLC2A5	Frauwirth et al, 2002, The CD28 Signaling Pathway Regulates Glucose Metabolism	promotes	0.833	0.438	0.444	0.469	0.549	0.4	0.4	0.889	1	0.889	1	0.667	0.667
AKT3	BACH2	Roychoudhuri et al, 2016, BACH2 regulates CD8+ T cell differentiation by controlling access of AP-1 factors to enhancers. 	inhibits	0.5	0.562	0.778	0.571	0.44	0.514	0.524	0	0.111	0.111	0.333	0.111	0.778
AKT3	FOXO1	Calnan, The FoxO code, 2008.. Hedrick et al, FOXO transcription factors throughout T cell biology. Hedrick et al, FOXO transcription factors throughout T cell biology	inhibits	0.333	0.562	0.222	0.429	0.33	0.443	0.267	0	0.111	0	0.222	0.111	0.778
AKT3	MTOR	van der Widnt & Pearce, Metabolic switching and fuel choice during T-cell differentiation and memory development	promotes	0.667	0.938	0.778	0.429	0.659	0.657	0.486	1	0.889	1	0.778	0.889	0.222
AKT3	PPARGC1A	Schrping, 2016, The Tumor Microenvironment Represses T Cell Mitochondrial Biogenesis to Drive Intratumoral T Cell Metabolic Insufficiency and Dysfunction	inhibits	0.667	0.625	0.778	0.531	0.648	0.5	0.6	0.556	0.333	0.444	0.333	0.444	0.111
AKT3	SLC2A1	Frauwirth et al, 2002, The CD28 Signaling Pathway Regulates Glucose Metabolism	promotes	0.667	0.688	0.778	0.571	0.549	0.671	0.59	0	0.111	0.333	0.333	0.889	0.111
AKT3	SLC2A2	Frauwirth et al, 2002, The CD28 Signaling Pathway Regulates Glucose Metabolism	promotes	1	0.75	0.444	0.653	0.604	0.671	0.581	1	0.778	0.222	0.556	1	0.667
AKT3	SLC2A3	Frauwirth et al, 2002, The CD28 Signaling Pathway Regulates Glucose Metabolism	promotes	1	0.625	0.556	0.531	0.659	0.571	0.686	0	0.111	1	0.778	0.889	0.889
AKT3	SLC2A4	Frauwirth et al, 2002, The CD28 Signaling Pathway Regulates Glucose Metabolism	promotes	0.833	0.75	0.444	0.531	0.67	0.6	0.486	0	0.111	1	1	0.667	0.889
AKT3	SLC2A5	Frauwirth et al, 2002, The CD28 Signaling Pathway Regulates Glucose Metabolism	promotes	0.667	0.562	0.222	0.449	0.374	0.414	0.467	1	1	1	1	0.667	0.778
