Source	avExp.aPDL1.v.TIL	avExp.PDL1plusPDL1minus	avExp.Tim3PlusTim3Minus	avExp.TILN2CMV	avExp.TILN2naive	avExp.TILN2EBV	avExp.TILN2tumorPBMC	avExp.acuteD5.2N.89307	avExp.acuteD7.2N.89307	avExp.T.D5.2N.89307	avExp.T.D7.2N.89307	avExp.T.D14.2N.89307	avExp.T.D21.2N.89307
AKT1	0.0185285997048383	0.0604713683434119	0.158203075043279	0.0530613316924466	0.141841003475446	0.103989546077788	0.14729921419269	0.0746140230448993	0.0622561304128344	0.160846285979527	0.102005208630442	0.104443750727758	0.119171832141536
AKT2	0.0972794455141947	0.187040754886934	-0.780458000962848	-0.00420978885780047	0.0144218505704462	-0.3987504322579	-0.7476469233805	0.0130733298054838	-0.0461731686178345	-0.00388052400318141	-0.0138970283243021	-0.0709106947480907	-0.0963317785753423
AKT3	0.329380622231575	-0.0616394208388386	-0.000348638605792524	0.0564880963576006	-0.0878347387872163	-0.066652188462844	0.0225730041934978	-0.0956906296252113	-0.0457902506542633	-0.153143394247561	-0.199060595127792	-0.0383435202745164	0.0394766252406637
BACH2	-0.112557116715093	0.0817863807117246	0.0385932863502415	0.0351986451883574	-0.525071473029341	-0.0185537771674087	0.0257076611564099	-0.250061669423662	-0.193053566368773	-0.0316186812816723	-0.0425082414958693	-0.248550659296925	-0.23569854724851
BATF	-0.0216918331169253	-0.0609095525975293	0.105331901634816	-0.0498080133608429	0.0246524551035806	0.00443039336287088	0.0149304441916826	0.147476385698382	0.0927619042971188	0.134367162849078	0.0781993730437135	0.11406387380162	0.0912515706758379
BCL6	0.00932962139647288	-0.642833287089422	-0.175385828326432	-0.0761457012160521	0.108030739064431	-0.0183738936820758	-0.0610813738225578	-0.0315006068583541	-0.0683154461088361	-0.0420354320451872	0.0591156457858023	-0.0672209791651574	-0.0518723798205648
BTLA	-0.629717009786381	0	0.120181967914514	0.102861992580874	0.12551996537964	0.110574162203887	0.12863737948011	-0.0429229773122432	0.00351641636903326	0.275322392780401	0.255868632665182	-0.0943060578299346	-0.126059502761846
CA	0	0	0	0	0	0	0	0	0	0	0	0	0
CD160	-0.147563833289933	0.332930937226134	-0.465087986747973	-0.40570076176199	0.148541659202499	-0.534328865169735	0.299717005676458	0.253139656549517	0.236791936048657	0.464982733264822	0.444699989357176	0.251112753632104	0.312044557938626
CD244	0.600692635778955	0.528225006998759	-0.273696538654185	-0.252558873839036	-0.00744567130749809	-0.45617695253768	0.0980980596117395	0.354674903073405	0.206146910402766	0.640094657157204	0.800231762979399	1.16274237183625	1.18404068745356
CD247	0.0479683745828584	0.0387289626281482	-0.0129973897956046	-0.0404319528133259	-0.119412245085215	-0.404908210048589	-0.519178803903612	-0.0338558357140402	-0.0168178150247723	-0.175342296583571	-0.201695270985289	-0.156587530990997	-0.119382886960745
CD274	0.071427029904007	-0.114270236451102	-0.010924852753512	0.0231052776209587	0.0552081708110155	0.0148711749529812	0.00387939230621562	-0.075222081288831	-0.0188954532244652	0.00204064804469073	0.0651346799434309	0.044554151224377	0.0382984567455702
CD28	-0.0664790497280457	0.143941461532772	0.0908829544054727	0.0331570519308505	-0.225104755933818	-0.00992137898910911	-0.0342488811237798	0.0855862714566975	0.105832575412951	0.171389189453476	0.143048841210309	-0.0863279806281078	-0.193823715996236
CD3D	0.120116212009499	0.00768637217343797	-0.123790452908034	0.028602823750815	0.0639956722998476	0.0786663319022681	0.165867314368923	0.0251371325445203	0.0364336061534421	0.00872930527517699	-0.0298878196381945	-0.1631815187373	-0.0596798887128761
CD3E	0.084667205111247	-0.000514158619439482	0.00715808322027152	0.0123739387746179	0.0896110507397318	0.101716762027666	0.112453116566668	-0.023963229981147	-0.00993515065065909	-0.0182966830041672	-0.0351769243295326	-0.0632044255524311	0.0184710143401964
CD3G	0.117019664235538	-0.00721521333265978	-0.0529079433559427	0.0170273839934631	0.0414547579726737	0.0548133929767898	-0.0762385047526399	-0.040268450463258	-0.0132496546152208	0.00350458538848074	-0.0324711604887575	-0.0572585402772175	0.074294137371776
